"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Wonen/Gemiddelde woningwaarde (x 1 000 euro)";"Wonen/Woningen naar bouwjaar/Bouwjaar voor 2000 (%)";"Wonen/Woningen naar bouwjaar/Bouwjaar vanaf 2000 (%)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)"
"Diamantbuurt";"    8230";"     985";"    1050";"    2770";"    2335";"    1100";"    4870";"    2850";"     935";"    1090";"     228";"      99";"       1";"    22.4"
"Hoofddorppleinbuurt";"   11535";"    1470";"    1230";"    5330";"    2455";"    1055";"    7020";"    4065";"    1645";"    1315";"     231";"      99";"       1";"    33.7"
"Schinkelbuurt";"    3800";"     400";"     420";"    1745";"     910";"     325";"    2475";"    1595";"     495";"     395";"     247";"      95";"       5";"    33.1"
"Willemspark";"    5690";"    1170";"     545";"    1870";"    1480";"     640";"    2790";"    1310";"     645";"     840";"     609";"     100";"       0";"    59.9"
"Museumkwartier";"   11515";"    1890";"    1070";"    3385";"    3035";"    2140";"    6160";"    3225";"    1490";"    1450";"     607";"      99";"       1";"    64.6"
"Stadionbuurt";"   11570";"    1515";"    1175";"    4455";"    2775";"    1655";"    6845";"    3915";"    1425";"    1510";"     265";"      85";"      15";"    32.0"
"Apollobuurt";"    8645";"    1735";"     885";"    2380";"    2140";"    1510";"    4255";"    1995";"     985";"    1280";"     665";"     100";"       0";"    55.6"
"Duivelseiland";"    1360";"     160";"     110";"     720";"     265";"     110";"     860";"     525";"     205";"     135";"     292";"     100";"       0";"    42.7"
"Scheldebuurt";"   14710";"    2145";"    1705";"    5780";"    3015";"    2070";"    8345";"    4625";"    1890";"    1835";"     302";"      97";"       3";"    35.5"
"IJselbuurt";"    5205";"     605";"     650";"    2125";"    1210";"     625";"    3205";"    1920";"     680";"     615";"     233";"      94";"       6";"    27.4"
"Rijnbuurt";"    9055";"    1015";"    1115";"    3675";"    2050";"    1215";"    5795";"    3640";"    1165";"    1000";"     229";"      98";"       2";"    28.0"
"Station-Zuid WTC en omgeving";"    1400";"     255";"     110";"     405";"     325";"     315";"     790";"     465";"     160";"     175";"     503";"     100";"       0";"    50.3"
"Buitenveldert-West";"   13650";"    1605";"    1400";"    4325";"    2985";"    3340";"    8160";"    4840";"    1805";"    1525";"     252";"      88";"      12";"    34.8"
"Buitenveldert-Oost";"    7785";"     820";"     690";"    2340";"    1595";"    2350";"    4540";"    2745";"    1025";"     780";"     203";"      96";"       4";"    31.9"
